place_id,name,lat,lng,address,rating,user_ratings_total,business_status,types,source_query
ChIJpwzk2WE5DW0RQ0GzjRMxGnM,Nice Rice Chinese Takeaways,-36.75130089999999,174.7135553,"Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJda091Hw7DW0RSUbZjXuIXkM,Simya Korean Restaurant,-36.7413974,174.7109883,"5/243 Rosedale Road, Albany, Auckland",,,,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJw6QTotU7DW0R_81humfy_pE,Burger King Constellation Drive,-36.7505146,174.728683,"70 Parkway Drive, Mairangi Bay, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJfcITOSs6DW0RHRt0jwYparg,Mexicali Fresh,-36.7479628,174.7324285,"32 Constellation Drive, Rosedale, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJqxVAOSs6DW0Rq6QF-SqZMxQ,"TANK Constellation Drive - Smoothies, Raw Juices, Salads & Wraps",-36.74784289999999,174.7324283,"32/B Constellation Drive, Rosedale, Auckland",,,,"meal_takeaway,restaurant,point_of_interest,food,establishment",restaurant
ChIJw0l9kis6DW0Rosain4iRa0c,Subway,-36.7467326,174.7364438,"21 Constellation Drive, Albany, North Shore",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJjZLbWtI7DW0R9qFYUkZqCZc,Duck Duck Goose Eatery,-36.7425375,174.7284512,"Albany, 6/56 Apollo Drive, Rosedale, Auckland",,,,"cafe,restaurant,point_of_interest,food,establishment",restaurant
ChIJFRQdn9E7DW0RgNyNGSKQGIE,Black & Gold Coffee Eatery,-36.7431615,174.7251831,"New Zealand 1/33 Triton Drive, Rosedale, Auckland",,,,"cafe,restaurant,point_of_interest,food,establishment",restaurant
ChIJgSfgDtA7DW0RK7kmy_nrHSU,China Castle,-36.7413487,174.7217039,"12 Arrenway Drive, Rosedale, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJgSfgDtA7DW0RP5rfACxrjoo,Happy Chef,-36.7412603,174.7217137,"12 Arrenway Drive, Rosedale, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJN5SbYjA6DW0RIEqtDYgTbYc,Noodle Canteen,-36.738866,174.7413827,"4/544 East Coast Road, Windsor Park, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJH3HJfTA6DW0REKZEkLxsB90,King of India,-36.7389526,174.7415212,"6a/544 East Coast Road, Windsor Park, Auckland",,,,"meal_takeaway,restaurant,point_of_interest,food,establishment",restaurant
ChIJaYze7cQ7DW0Ryd8Oxlpt_-A,Smart Kitchen,-36.7386128,174.7176576,"3 Miro Place, Albany, Auckland",,,,"restaurant,point_of_interest,food,establishment",restaurant
ChIJt1OafY45DW0RMSUcyzAjwow,Good Horse Takeaways,-36.7604699,174.7465853,"4/1 Grenada Avenue, Forrest Hill, Auckland",,,,"meal_takeaway,restaurant,point_of_interest,food,establishment",restaurant
ChIJDdak1tQ7DW0R3vkCtFj63VQ,Wendy's,-36.7485616,174.7311231,"38 Constellation Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJsVyLdNU7DW0R3w2C8aX57TQ,The Dark Horse,-36.7504188,174.7289946,"70 Parkway Drive, Mairangi Bay, Auckland",,,,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJB-_4iys6DW0RKyO8Un019Wc,McDonald's Constellation Drive,-36.7465744,174.7351666,"14/16 Constellation Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJwag16Cw6DW0RMAXxaEy96ak,Pita Pit Mairangi Bay,-36.7444491,174.7329101,"27 Apollo Drive, Rosedale, Mairangi Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ4WrJ4887DW0RsVSOqZhIKWM,Totoya,-36.7405749,174.7223807,"7 Triton Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ1U5EfDA6DW0RXgNmt6YAweM,BurgerFuel Windsor Park,-36.738844,174.741308,"Unit 3/544 East Coast Road, Windsor Park, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJdXyF4y46DW0RNVPuBF5z__Y,Pass-N-Punt Sports Bar,-36.7504816,174.7291198,"70 Parkway Drive, Mairangi Bay, Auckland",,,,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJNwqhFRw7DW0RVNKQYaVM2Zc,Kika's North Shore,-36.7480241,174.7325496,"1/32 Constellation Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJAfwAk6I7DW0ResyfyjK6MVE,Town Tonic Auckland,-36.7480241,174.7325496,"1/32 Constellation Drive, Rosedale, Auckland",,,,"restaurant,bar,cafe,food,point_of_interest,establishment",restaurant
ChIJ5-LHbqw7DW0RcDCgZAK3A8w,Judy's Kitchen,-36.750061,174.7327255,"2/38 Parkway Drive, Rosedale, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJa-pDDCE7DW0R6cUC3Y9M1Kg,Crazy sushi,-36.746679,174.7339478,"10 Ascension Place, Rosedale, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJjaZS-Cs6DW0RG_1xC4852M4,"Jesters, Rosedale",-36.7467185,174.7362504,"21 Constellation Drive, Mairangi Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJN_p4B-Q7DW0RQSluzLl7-6Q,Tea And Bao,-36.7432181,174.7300735,"1 Antares Place, Rosedale, Auckland",,,,"restaurant,meal_takeaway,food,point_of_interest,establishment",restaurant
ChIJaRLrLS06DW0RdLPsR2p-R8A,Napoleon Grills,-36.7432379,174.7317505,"5 Ceres Court, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJgcqjgu87DW0RNbw7CnogdkI,Burr Burger,-36.7429786,174.730319,"1 Antares Place, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJd9uXTtg7DW0RI8ZF48VaaAk,Mrs Bun&Dumpling,-36.7427931,174.7287569,"1/56 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJjZLbWtI7DW0R5PqrFR57ghM,Blu Poké Shed,-36.7427149,174.7286251,"3/56 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJtyFMZog7DW0RS8da8jOrg90,Z FRESH Noodles,-36.74280809999999,174.7279634,"12/56 Apollo Drive, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJUWnnqVA7DW0RmA6XFtmiedg,Mr.Noodle大碗宽面,-36.74273439999999,174.7280167,"Unit12/56 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJjZLbWtI7DW0RA3DOYtDOslU,Sushi Break,-36.7426062,174.7285266,"56 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJf4N_pzVMDW0RhxyKNEE49Nw,Uncle Tetsu's Japanese Cheesecake,-36.74265589999999,174.7278522,"9/56 Apollo Drive, Rosedale, Auckland",,,,"bakery,restaurant,food,point_of_interest,store,establishment",restaurant
ChIJEX0Qh4w7DW0REoBaFijxlG0,Chef Kim - Authentic Korean Restaurant North Shore,-36.7430232,174.7250708,"33D Triton Drive, Rosedale, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJ36YdotE7DW0RruWvkQqa6qY,KS Chicken,-36.7428931,174.7249406,"33B Triton Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJgzORay06DW0RXvU6FwhRMNg,Subway,-36.7420779,174.7331928,"17 Antares Place, Mairangi Bay, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJERo6htI7DW0RqqpR8_aLYeU,Yb Sushi,-36.7414774,174.7291519,"Orbit Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJT7plCxA5DW0RcScys8lRx4Y,BB Burrito,-36.7573104,174.7245974,"95 Sunset Road, Totara Vale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJyTuQ1c87DW0RvMQLpfU4Koc,Five star,-36.74059339999999,174.7235631,"18H Triton Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJI4muny05DW0RnlVPiQ1DKBs,Mr Li Takeaway European and Chinese Food,-36.75467,174.7404385,"NZ Auckland North Shore 1/20 Tonkin Drive, Sunnynook, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJb9CKPWk7DW0Rg37YSm-rWcE,Boon,-36.7389665,174.7270476,"Unit 5/83 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJdV7VHxU7DW0RgRCJIdtMpfg,NaB Cafe & Korean Restaurant (나비 카페 & 포장마차),-36.7389665,174.7270476,"11/83 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJNYHnya87DW0R4RngvMGOT8Y,The Base Bar & Grill,-36.7389665,174.7270476,"1/83 Apollo Drive, Rosedale, Auckland",,,,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ5WPxJL87DW0Rpz7WOZM-yD4,北岸聚点烧烤,-36.7389665,174.7270476,"1/83 Apollo Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJjQn4Sq47DW0Rmpq_05tg6ys,DAGU Rice Noodle Albany 大鼓米线北岸店,-36.7406136,174.7225041,"7a Triton Drive, Rosedale, Auckland",,,,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ61oPEYU7DW0R6BZYhGI7iI8,MODU Eatery,-36.7389129,174.7273027,"Unit 5/83 Apollo Drive, Rosedale, Auckland",,,,"meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
