place_id,name,lat,lng,address,types,source_query
ChIJUXIpIpNHDW0RgaGk0twzrEQ,NISHIKI FREEMANS BAY,-36.852546,174.7511179,"100 Wellington Street, Freemans Bay, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJoa_TGJ5HDW0RisKq0hNcJzo,Hell Pizza Grey Lynn,-36.85484619999999,174.7317825,"280 Richmond Road, Grey Lynn, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJ3XWC2I9HDW0RrsYuqAsO9Ws,Turkish Cafe and kebab Ponsonby,-36.8480544,174.7437615,"320A Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJsR9ReIRHDW0RW1qeho-cCA0,Jervois Rd Wine Bar + Kitchen,-36.8454315,174.7369174,"170 Jervois Road, Herne Bay, Auckland","bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJZaX8C6RHDW0RKL_YKwvfMKk,Soul Thai,-36.8651401,174.7378524,"158 Williamson Avenue, Grey Lynn, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
ChIJP1-mcZdHDW0RabjxHE2fxGE,Cocoro,-36.85639,174.742858,"56a Brown Street, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJ-3ZJ-YJHDW0R3S34xxdxNlU,The Italian Job Restaurant,-36.8460593,174.733818,"242 Jervois Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJKUI6u0MUDW0RuDcjpLka82Q,Dante's Pizzeria Ponsonby,-36.8562827,174.7462369,"Ponsonby Centre 136 Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJXStrtZVHDW0R874ZkzGOPDc,Cafe 39,-36.85735249999999,174.7486954,"39 Ponsonby Road, Ponsonby, Auckland","cafe,bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ-QfqopZHDW0RMU_yTiLH1No,Sol’s Place,-36.8556193,174.7466796,"121 Ponsonby Road, Ponsonby, Auckland","cafe,restaurant,food,store,point_of_interest,establishment",restaurant
ChIJBdyvgpZHDW0RzGX4ivTGnMM,Murder Burger,-36.8564844,174.7471865,"4/95 Ponsonby Road, Grey Lynn, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJD64rspVHDW0RVcHFffY6V2w,Thai House Restaurant,-36.8575597,174.7490336,"25 Ponsonby Road, Grey Lynn, Ponsonby","restaurant,food,point_of_interest,establishment",restaurant
ChIJbwYKapVHDW0RxzTZg8kRrpo,3 tigers Restaurant,-36.8589889,174.7511113,"42 Ponsonby Road, Grey Lynn, Auckland","bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ64IJm49HDW0RBgLh5PfLoJU,Fusion Cafe,-36.8467015,174.7427968,"32 Jervois Road, Ponsonby, Auckland","cafe,restaurant,food,point_of_interest,establishment",restaurant
ChIJPzH5zY9HDW0RQ6E4zQngMQs,Sidart Restaurant,-36.8482513,174.7443542,"283 Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJiWGOnINHDW0R0oe5A-S_Kss,Taisho,-36.84558359999999,174.7361221,"190 Jervois Road, Herne Bay, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJJZLYsb9HDW0RIeA-wfUgAdU,McDonald's Grey Lynn,-36.8620256,174.7504064,"102/112 Great North Road, Grey Lynn, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJSymAsJZHDW0RYeVag-ZxRc0,Yuzu Japanese Restaurant,-36.85508539999999,174.7463461,"145 Ponsonby Road, Ponsonby, Auckland","restaurant,food,point_of_interest,establishment",restaurant
ChIJYe13GqRHDW0Rgq009w6IvUg,Pizza Hut,-36.8656207,174.7374402,"570 Great North Road, Grey Lynn, Auckland","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",restaurant
