place_id,name,lat,lng,address,types,source_query
ChIJb6hvRP5KDW0R8psNaQCNSXI,Half Moon Park,-36.8861454,174.9018956,"Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJL7VrXQBLDW0Rq_G_hH5Arf8,Pigeon Mountain Wetland,-36.8900078,174.8998463,"Pigeon Mountain Road, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJRzQ2NqpLDW0R_vw3F2ST1FM,Wakaaranga Creek Reserve,-36.8914849,174.8955336,"103 Prince Regent Drive, Half Moon Bay, Auckland","tourist_attraction,park,point_of_interest,establishment",park
ChIJ____uwFLDW0RwMnbsElN3fo,Pakuranga Domain,-36.8896729,174.9020583,"Pakuranga Domain, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJHXmrrP1KDW0RylN6M95iFR0,Cornelian Park,-36.8856421,174.9058017,"50 Cornelian Crescent, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJZ3SffPtKDW0RCGU4e473VkQ,Kereru's Garden,-36.8825133,174.9068552,"Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJ5QGLLl9LDW0Rm3GwIRa5Y40,Blanche park,-36.892529,174.9031947,"Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJFcLj789LDW0RRcWO7YaoFPk,Glennandrew Park,-36.88876259999999,174.9072707,"138 Gills Road, Half Moon Bay, Auckland","park,point_of_interest,establishment",park
ChIJp5Ulz7JLDW0RUa_FP_mRdDI,Bucklands Beach Road Reserve,-36.8771165,174.9091634,"5070180, Eastern Beach, Auckland","park,point_of_interest,establishment",park
ChIJ9zXbI25LDW0RhiObco-rN1M,Wai-o-taiki Bay,-36.8731267,174.8854757,"Wai O Taiki Bay, Auckland","park,point_of_interest,establishment",park
ChIJGxl98ONKDW0R3rG4kFa6RJ0,Richard Park,-36.8836298,174.9133675,"Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJWQ9jpBtLDW0RBJaREUoqbj0,Pakini Hepi Pond,-36.87251069999999,174.8833563,"Glendowie, Auckland","park,point_of_interest,establishment",park
ChIJ6cyVbkJKDW0RcMacJGLvAA8,Tahuna Torea,-36.8719426,174.8817756,"West Tamaki Road, Glen Innes, Auckland","park,tourist_attraction,point_of_interest,establishment",park
ChIJ6yU2fsJLDW0RbTsmdvAZg9M,Eastern Beach Lookout,-36.8752842,174.9129857,"45 Quedley Court, Eastern Beach, Auckland","park,point_of_interest,establishment",park
ChIJ1eALhRtLDW0R4Dp4_T5iV44,Grace Campell Reserve,-36.8943075,174.912048,"Grace Campbell Reserve 12 Hazelmay Place, Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJo60bafNKDW0REy8PYExipWQ,Wharf Road Reserve,-36.8681926,174.9045404,"Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJR_OKo_RKDW0Rbsc-l8c8Uko,Bucklands Beach Toilet Reserve,-36.8676338,174.9032383,"The Parade, Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJ4SMTagBLDW0RLRy9nZ3BUuk,Bucklands Beach Reserve,-36.8675912,174.9032976,"44R The Parade, Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJxS2o1ZJLDW0Rm9oR38iafFw,Edgeland,-36.8820572,174.9173246,"2 Macleans Road, Bucklands Beach, Auckland","park,point_of_interest,establishment",park
ChIJf7nQZQBLDW0RgwX4B0bSLG0,Pakuranga Domain,-36.8902597,174.9001052,Half Moon Bay,"park,premise,point_of_interest,establishment",park
ChIJuZanhRtLDW0ROZsr8CYwsg4,Grace Campbell Reserve,-36.8943758,174.9120671,Bucklands Beach,"park,premise,point_of_interest,establishment",park
ChIJvRgH_-dKDW0RtU-84UFa17Y,Eastern Beach,-36.8781748,174.9191711,"New Zealand, The Esplanade, Eastern Beach, Auckland","park,point_of_interest,establishment",park
ChIJfw2ds9BKDW0RNW_wpE1DZ24,Mellons Bay Reserve,-36.88367919999999,174.9306484,"Mellons Bay, Auckland","park,point_of_interest,establishment",park
ChIJUzSbnRpLDW0RaMuJMh1Moxw,Mellons Bay Bush Reserve,-36.8865174,174.9296782,"146 Mellons Bay Road, Mellons Bay, Auckland","park,point_of_interest,establishment",park
ChIJCZsSdvpLDW0RtQjeszcN65Y,Bleakhouse Road Promontory Reserve,-36.8793927,174.9237196,"247 Bleakhouse Road, Mellons Bay, Auckland","park,point_of_interest,establishment",park
ChIJ-xz9USZLDW0RUtp0CP8-zYg,Stockade Hill,-36.8922664,174.9278511,"34 Ridge Road, Howick, Auckland","park,point_of_interest,establishment",park
ChIJcxsWxyhLDW0RztFNqBv1fU8,Crawford Reserve,-36.8922185,174.9296638,"Picton Street, Howick, Auckland","park,point_of_interest,establishment",park
ChIJyX-JSXxLDW0R8rAlXDVhexk,Howick's Christmas Tree,-36.89242599999999,174.9267103,"34 Ridge Road, Howick, Auckland","park,point_of_interest,establishment",park
ChIJa07FrudKDW0R4MycJGLvAA8,Macleans Park,-36.8798802,174.9172788,"67R The Esplanade, Mellons Bay, Auckland","park,point_of_interest,establishment",park
ChIJKey8ewBLDW0Rk5-MwTslZzo,Freedom Camping Uxbrige Road,-36.89328649999999,174.9324121,"20 Uxbridge Road, Mellons Bay, Auckland","campground,park,lodging,point_of_interest,establishment",park
ChIJKX5U8NS0cm0RrR9omh48Q0s,Howick Beach,-36.8931693,174.9422659,"Granger Road, Cockle Bay, Auckland","park,point_of_interest,establishment",park
ChIJQ_cesldLDW0RNtlHyi0STbw,Waipaparoa Beach/Howick Beach,-36.8931946,174.9428758,"Beach Road, Mellons Bay, Auckland","park,point_of_interest,establishment",park
ChIJPzsmsu5KDW0RSuA9krqjbeM,Eastern Beach Playground,-36.8734537,174.9138135,"34 The Esplanade, Eastern Beach, Auckland","park,point_of_interest,establishment",park
ChIJqSujYbG1cm0RgT5dYKQqUhU,Beachlands Domain,-36.8862438,174.9950798,Beachlands,"park,point_of_interest,establishment",park
ChIJ2TbkFbq1cm0RK2iP5TP-468,Sunkist Bay Reserve,-36.88009549999999,174.9959062,"62 Wakelin Road, Beachlands","park,point_of_interest,establishment",park
ChIJs2tEva61cm0RuZsR2TE1LT8,Pine Harbour Park,-36.8854605,174.9884173,Beachlands,"park,point_of_interest,establishment",park
ChIJ_zgzaqm1cm0RSJDusAqu-4I,Green Bay Reserve,-36.88508929999999,174.9855733,Beachlands,"park,point_of_interest,establishment",park
ChIJ4wYYWLi1cm0RJ0s_T_KkfDg,Ken Parker Reserve,-36.8789376,175.0007667,Beachlands,"park,point_of_interest,establishment",park
ChIJKzHx9Ki1cm0RPHnsRyI5YgY,Motukaraka Reserve,-36.8822381,174.9845576,Beachlands,"park,point_of_interest,establishment",park
ChIJyy4EQMi1cm0RT64S4ljuWFY,Pony Park Reserve,-36.8826756,175.0039348,"25 Pony Park Place, Beachlands","park,point_of_interest,establishment",park
ChIJUwefoci1cm0RX9rK3Syb2bs,Blakewell Park,-36.88195839999999,175.0066052,Beachlands,"park,point_of_interest,establishment",park
ChIJBZn6U8a1cm0RINOKTN3GllU,Shelly Bay Reserve,-36.8791335,175.0055816,Beachlands,"park,point_of_interest,establishment",park
ChIJwbw8CMy1cm0Rkw2bOKqgCAE,Intrepid Crescent Reserve,-36.8876211,175.0079151,"116 Beachlands Road, Beachlands","park,point_of_interest,establishment",park
ChIJS6PlSgC1cm0RQZAmpAxHvS8,Beachlands Pump Track by Trailpro,-36.88686879999999,175.0084244,"18 Columbia Crescent, Beachlands","park,point_of_interest,establishment",park
ChIJh8vWGsW1cm0RboCZOotdHgU,Leigh Auton Reserve,-36.879521,175.0106767,Beachlands,"park,point_of_interest,establishment",park
ChIJZ5BzEs61cm0RiPDzPbba4GY,Liberty Park,-36.8864568,175.0121387,"50 Liberty Crescent, Beachlands","park,point_of_interest,establishment",park
ChIJmdYDcdi1cm0RsM2cJGLvAA8,Omana Regional Park,-36.8794052,175.0256333,"2 Omana Beach Road, Maraetai","tourist_attraction,park,point_of_interest,establishment",park
ChIJS7Dlm3S3cm0RgZf3u8wqL5Y,Omana regional park - Toyota kiwi guardians medal post,-36.8805158,175.0239642,"56 Maraetai Drive, Maraetai","park,point_of_interest,establishment",park
ChIJxbU-Wo63cm0RYpFbv6VLhtc,Maraetai beach,-36.8802308,175.0340814,Maraetai,"park,point_of_interest,establishment",park
